"","Sample_A","Sample_B","BC_distances"
"188","10P1V2","10P10V2A",0.746349819616338
"189","10P2V1","10P10V2A",0.988826558259218
"190","10P2V1A","10P10V2A",0.993514913673829
"191","10P2V2","10P10V2A",0.990903315719126
"192","10P2V2A","10P10V2A",0.990074917775401
"193","10P2V2B","10P10V2A",0.913393149826839
"194","10P2V3","10P10V2A",0.988901103238493
"195","10P2V3A","10P10V2A",0.992218314361162
"196","10P3V1","10P10V2A",0.928240236502256
"197","10P3V1A","10P10V2A",0.918109244425486
"198","10P3V2","10P10V2A",0.974203619147747
"199","10P3V2A","10P10V2A",0.879020890685064
"200","10P2V3B","10P10V2A",0.885613629008815
"201","10P3V3A","10P10V2A",0.922430073470014
"202","10P4V1","10P10V2A",0.928200286044372
"203","10P4V1A","10P10V2A",0.816761523798972
"204","10P4V2","10P10V2A",0.926341393070528
"205","10P4V2A","10P10V2A",0.866598702605397
"206","10P4V3","10P10V2A",0.928240236502256
"207","10P4V3A","10P10V2A",0.865651111989224
"208","10P5V1","10P10V2A",0.987452648710967
"209","10P5V2","10P10V2A",0.849087209497909
"210","10P6V1","10P10V2A",0.925106711738642
"211","10P6V1A","10P10V2A",0.831729672374537
"212","10P6V2","10P10V2A",0.974334295899186
"213","10P6V2A","10P10V2A",0.845811926360471
"214","10P6V3","10P10V2A",0.963505648405312
"215","10P6V3A","10P10V2A",0.831363080183859
"216","10P7V1","10P10V2A",0.993326667676736
"217","10P7V1A","10P10V2A",0.987990700965095
"218","10P7V2","10P10V2A",0.867317168395334
"219","10P7V3","10P10V2A",0.974937830136927
"220","10P7V3A","10P10V2A",0.934464308338874
"221","10P8V1","10P10V2A",0.986063361651986
"222","10P8V1A","10P10V2A",0.935850549076588
"223","10P8V2","10P10V2A",0.925236541068888
"224","10P8V2A","10P10V2A",0.807597608020439
"225","10P9V1","10P10V2A",0.987880295122098
"226","10P9V1A","10P10V2A",0.991592247767433
"227","10P9V1B","10P10V2A",0.914586360962189
"228","10P9V2","10P10V2A",0.997448265131477
"229","10P9V2A","10P10V2A",0.992220320522795
"230","10P9V3","10P10V2A",0.994056997645254
"231","10P9V3A","10P10V2A",0.68027525031921
"232","10P10V1","10P11V1",0.232077098353386
"233","10P10V2","10P11V1",0.221276805326517
"234","10P10V2A","10P11V1",0.966068114246405
"235","10P11V1","10P11V1",0
"236","10P11V1A","10P11V1",0.972997916942602
"237","10P11V2","10P11V1",0.0861258154791003
"238","10P12V1","10P11V1",0.860042041288732
"239","10P12V1A","10P11V1",0.979294124321146
"240","10P13V1","10P11V1",0.980426489241064
"241","10P13V2","10P11V1",0.987452961043605
"242","10P14V1","10P11V1",0.826456195622931
"243","10P14V1A","10P11V1",0.993452135450652
"244","10P14V2","10P11V1",0.826955848836379
"245","10P14V2A","10P11V1",0.965203616555572
"246","10P14V3","10P11V1",0.779609329137774
"247","10P14V3A","10P11V1",0.965191383635692
"248","10P15V1","10P11V1",0.411559654018018
"249","10P15V1A","10P11V1",0.986684231075732
"250","10P15V2","10P11V1",0.666775337653428
"251","10P15V2A","10P11V1",0.96820654267167
"252","10P15V3","10P11V1",0.672786269972074
"253","10P15V3A","10P11V1",0.98073457719724
"254","10P16V1","10P11V1",0.991152740322924
"255","10P16V2","10P11V1",0.971215584235853
"256","10P17V1","10P11V1",0.990194006509151
"257","10P17V3A","10P11V1",0.997916971511004
"258","10P17V3","10P11V1",0.221278010290795
"259","10P18V1","10P11V1",0.248693658205818
"260","10P18V1A","10P11V1",0.973410125592353
"261","10P18V2","10P11V1",0.501399617025904
"262","10P18V3","10P11V1",0.236758034083615
"263","10P18V3A","10P11V1",0.963529537167115
"264","10P1V1","10P11V1",0.992568699573284
"265","10P1V2","10P11V1",0.999394428744449
"266","10P2V1","10P11V1",0.522867522990083
"267","10P2V1A","10P11V1",0.757363123507239
"268","10P2V2","10P11V1",0.812583005706781
"269","10P2V2A","10P11V1",0.737647471312897
"270","10P2V2B","10P11V1",0.997573951692475
"271","10P2V3","10P11V1",0.690411568301661
"272","10P2V3A","10P11V1",0.888219032690169
"273","10P3V1","10P11V1",0.35196789303145
"274","10P3V1A","10P11V1",0.997715574650882
"275","10P3V2","10P11V1",0.238010246149112
"276","10P3V2A","10P11V1",0.988074923863759
"277","10P2V3B","10P11V1",0.994710330886654
"278","10P3V3A","10P11V1",0.9984727510957
"279","10P4V1","10P11V1",0.876047711756429
"280","10P4V1A","10P11V1",0.967505039443397
"281","10P4V2","10P11V1",0.940339114907843
"282","10P4V2A","10P11V1",0.988488149364266
"283","10P4V3","10P11V1",0.857715642416818
"284","10P4V3A","10P11V1",0.981735673012036
"285","10P5V1","10P11V1",0.27814876122923
"286","10P5V2","10P11V1",0.995864342095546
"287","10P6V1","10P11V1",0.845499384044874
"288","10P6V1A","10P11V1",0.963017797864268
"289","10P6V2","10P11V1",0.89421121362939
"290","10P6V2A","10P11V1",0.998463368692376
"291","10P6V3","10P11V1",0.796437312794677
"292","10P6V3A","10P11V1",0.964906222948
"293","10P7V1","10P11V1",0.987162889997229
"294","10P7V1A","10P11V1",0.999042741588091
"295","10P7V2","10P11V1",0.991091707629019
"296","10P7V3","10P11V1",0.923578338493899
"297","10P7V3A","10P11V1",0.994975942420196
"298","10P8V1","10P11V1",0.861335389386037
"299","10P8V1A","10P11V1",0.995940865019356
"300","10P8V2","10P11V1",0.845610896231473
"301","10P8V2A","10P11V1",0.970279531959941
"302","10P9V1","10P11V1",0.505437934879937
"303","10P9V1A","10P11V1",0.927314381588435
"304","10P9V1B","10P11V1",0.997030321403748
"305","10P9V2","10P11V1",0.99531934146417
"306","10P9V2A","10P11V1",1
"307","10P9V3","10P11V1",0.910431094667306
"308","10P9V3A","10P11V1",0.999384804675485
"309","10P10V1","10P11V1A",0.974245283018868
"310","10P10V2","10P11V1A",0.967103742771746
"311","10P10V2A","10P11V1A",0.748969339255676
"312","10P11V1","10P11V1A",0.972997916942602
"313","10P11V1A","10P11V1A",0
"314","10P11V2","10P11V1A",0.975249373490017
"315","10P12V1","10P11V1A",0.979870542896696
"316","10P12V1A","10P11V1A",0.673396827449929
"317","10P13V1","10P11V1A",0.787175930529316
"318","10P13V2","10P11V1A",0.763126738411206
"319","10P14V1","10P11V1A",0.957097896870589
"320","10P14V1A","10P11V1A",0.759079525560998
"321","10P14V2","10P11V1A",0.956493631273503
"322","10P14V2A","10P11V1A",0.787414333506857
"323","10P14V3","10P11V1A",0.950352581906589
"324","10P14V3A","10P11V1A",0.817538751532675
"325","10P15V1","10P11V1A",0.970747494809064
"326","10P15V1A","10P11V1A",0.788518790809555
"327","10P15V2","10P11V1A",0.960809168919096
"328","10P15V2A","10P11V1A",0.817907040336786
"329","10P15V3","10P11V1A",0.961578721280285
"330","10P15V3A","10P11V1A",0.848861619457449
"331","10P16V1","10P11V1A",0.717094519961227
"332","10P16V2","10P11V1A",0.531729206368785
"333","10P17V1","10P11V1A",0.749859333916568
"334","10P17V3A","10P11V1A",0.61928401549299
"335","10P17V3","10P11V1A",0.972513591029567
"336","10P18V1","10P11V1A",0.974864735936931
"337","10P18V1A","10P11V1A",0.800393459748685
"338","10P18V2","10P11V1A",0.963399463837425
"339","10P18V3","10P11V1A",0.968784826273896
"340","10P18V3A","10P11V1A",0.661419218920115
"341","10P1V1","10P11V1A",0.700157398833772
