"","10P10V1","10P10V2","10P10V2A","10P11V1","10P11V1A","10P11V2","10P12V1","10P12V1A","10P13V1","10P13V2","10P14V1","10P14V1A","10P14V2","10P14V2A","10P14V3","10P14V3A","10P15V1","10P15V1A","10P15V2","10P15V2A","10P15V3","10P15V3A","10P16V1","10P16V2","10P17V1","10P17V3A","10P17V3","10P18V1","10P18V1A","10P18V2","10P18V3","10P18V3A","10P1V1","10P1V2","10P2V1","10P2V1A","10P2V2","10P2V2A","10P2V2B","10P2V3","10P2V3A","10P3V1","10P3V1A","10P3V2","10P3V2A","10P2V3B","10P3V3A","10P4V1","10P4V1A","10P4V2","10P4V2A","10P4V3","10P4V3A","10P5V1","10P5V2","10P6V1","10P6V1A","10P6V2","10P6V2A","10P6V3","10P6V3A","10P7V1","10P7V1A","10P7V2","10P7V3","10P7V3A","10P8V1","10P8V1A","10P8V2","10P8V2A","10P9V1","10P9V1A","10P9V1B","10P9V2","10P9V2A","10P9V3","10P9V3A"
"10P1V2",0.999394428744449,0.999326383017721,0.746349819616338,0.999394428744449,0.811951729496272,0.999394428744449,0.999394428744449,0.804974938225099,0.737679856763694,0.743907640276229,0.999394428744449,0.716520172087422,0.999064297682417,0.757789150051202,0.999394428744449,0.829405148119244,0.999394428744449,0.84266658263169,0.999394428744449,0.880883054235225,0.999394428744449,0.902541037167192,0.792476156988379,0.777915837291728,0.747115138977652,0.749869110340947,0.999394428744449,0.998937010248108,0.902223882021143,0.999394428744449,0.999394428744449,0.871853114615249,0.783667856331637,0,0.999394428744449,0.999646750100928,0.999646750100929,0.999394428744449,0.843619467088922,0.998745044360845,0.999646750100929,0.999646750100929,0.844407634569857,0.999394428744449,0.777103459107095,0.770689227674722,0.867624649596595,0.999646750100929,0.886407274569578,0.999517283503311,0.895796275775567,0.999394428744449,0.906910172272619,0.999450748532916,0.789618816462918,0.999394428744449,0.786100932558989,0.999166020270871,0.806731441505331,0.999394428744449,0.78175549856815,0.99974767864352,0.973126479690306,0.874421122307663,0.99974767864352,0.927991692242721,0.999394428744449,0.913770721104794,0.999096493314428,0.841712725868784,0.999646750100929,0.999646750100929,0.923820254646461,1,0.9713417460206,0.99974767864352,0.259037500933259
"10P2V1",0.538703354584547,0.5173960632844,0.988826558259218,0.522867522990083,0.993305219739811,0.519588294634672,0.955763486174067,0.996009987543395,0.996683758000418,0.997302910302853,0.948641826294482,0.994454149912412,0.949944909618586,0.992316625345495,0.898656319344321,0.992379535124364,0.52505189219313,0.994904346256634,0.785384855211863,0.989585689805675,0.790592741589828,0.995463508505485,0.989906499311472,0.99523579879238,0.997910101177641,0.994939162594877,0.531492039939395,0.534128992802254,0.996832073537013,0.579484887862388,0.533241066551015,0.984820613601966,0.99106316665797,0.999394428744449,0,0.275813975431927,0.329378346179158,0.234135019762506,0.992003461550083,0.21537053134037,0.425052281376428,0.519563687482333,0.99340833129608,0.524997204159687,0.992498743619045,0.995725746000861,0.995877839435476,0.957969812572566,0.987946880846617,0.957486072623782,0.987481241384041,0.955144342745956,0.993407562449167,0.555728344405845,0.993116271532961,0.951630301123004,0.98537070824349,0.956120166604213,1,0.878237725451216,0.987308225158552,0.993655520860416,0.999617096635237,0.989696540703958,0.942471342564313,0.99515474212293,0.96555553347059,0.997910101177641,0.927071392646474,0.989582661296712,0.0346219040103736,0.96626725025005,0.997055962204121,1,1,0.974950152363658,0.999384804675485
"10P2V1A",0.751931585977915,0.751729220179337,0.993514913673829,0.757363123507239,0.994219384034258,0.754259079230328,0.98630886580954,0.996991435974167,0.997534806475899,0.998153958778333,0.977073232848741,0.995305198387892,0.979390660510459,0.993562519611744,0.927626481147257,0.994859106707592,0.760451002262979,0.996048639114652,0.817088059573252,0.9924870756098,0.818486160884117,0.996433902964973,0.99039357846289,0.996650125548704,0.998761149653122,0.994387677766845,0.76467638170133,0.765526924347539,0.997769364223744,0.765150644997749,0.765526924347539,0.986641671500562,0.992400799312513,0.999646750100928,0.275813975431927,0,0.232086579796383,0.274313867301323,0.991773245765641,0.217004751580074,0.31158207208427,0.760244979747995,0.992294148184972,0.76189296333003,0.99352275173899,0.995842535914904,0.995940955254442,0.984638255698712,0.992059475508863,0.984627819673004,0.991279813982637,0.984688239944489,0.994653456715417,0.769877064863893,0.993855218784937,0.979701208736761,0.988614495342725,0.981726115363503,1,0.903680649510145,0.991498104535152,0.994050366651185,0.999617096635237,0.99036387115389,0.967914930030531,0.996377601208768,0.989334083978782,0.998761149653122,0.95142016059427,0.99061549178316,0.292647872383948,0.989816601501679,0.997387692175924,1,1,0.993255186456393,0.999384804675485
"10P2V2",0.819093540863035,0.798054378325733,0.990903315719126,0.812583005706781,0.992551852512392,0.807545925178971,0.969490425693657,0.98979413628783,0.99582007314872,0.995668275430023,0.957047202384748,0.994083880037488,0.955335821734044,0.988261821760006,0.880122658030056,0.989858016185008,0.811711011433389,0.990505018715231,0.807291560071551,0.981992223268405,0.779825640850468,0.99379119142059,0.985646382251632,0.992470441878291,0.99582007314872,0.9968787515006,0.826325624951208,0.823249503542038,0.99582007314872,0.818046909532786,0.826301889323489,0.988018259480348,0.992457945224524,0.999646750100929,0.329378346179158,0.232086579796383,0,0.307976101482792,0.995955755271345,0.177992218205432,0.390650980631074,0.818399006857609,0.993645446541362,0.819835863273716,0.993491930943277,0.989105308358576,0.999161966156326,0.967343359908998,0.983065690802861,0.965828345285159,0.993296127598321,0.970317115636214,0.995687070843347,0.837086261091045,0.99126905108371,0.952488872743667,0.975337323678939,0.951823508376524,0.998463368692376,0.873518468497949,0.988179268933654,0.997271377553068,0.999617096635237,0.99193512692015,0.956017787721192,0.995537185891422,0.974138216966895,0.992451757348682,0.927243914922611,0.980196328601155,0.331965247460159,0.972782734876147,0.998758083165603,0.981322937798342,1,0.974138165293305,0.999384804675485
"10P2V2A",0.697400458273677,0.711050094295448,0.990074917775401,0.737647471312897,0.99404078877922,0.731021878027937,0.97158326429392,0.995368034682534,0.996084655850807,0.996803241383827,0.963512412170006,0.995317298957658,0.963379942557722,0.992843245377736,0.909541630487973,0.992485415067927,0.740442023283286,0.99347427982037,0.80221098559473,0.989272722492375,0.803539162908968,0.994247763682413,0.988265392836104,0.993797055857247,0.997410432258615,0.995215790080866,0.747466108783624,0.74760582062874,0.996332404617987,0.745412889067986,0.746176755536496,0.986257850861947,0.990989908450599,0.999394428744449,0.234135019762506,0.274313867301323,0.307976101482792,0,0.994561372641368,0.229224861758573,0.232800659843406,0.740929295376854,0.993684303243925,0.741775217438308,0.991999074700019,0.994731371841342,0.997767583526349,0.973480926205641,0.989900827114753,0.963726063588184,0.99023197772645,0.972502861370183,0.994844799709148,0.757801691792323,0.994209225549561,0.966770201866874,0.985373210779432,0.970315266179765,0.999857716058166,0.888984583993674,0.989115011740555,0.995478599885955,0.999503269481769,0.990931778662392,0.957125052690194,0.994999049024311,0.978204940885744,0.997534381970948,0.93999126603124,0.989284107877844,0.248375523758619,0.976112195562447,0.997103124292255,0.998434876639822,1,0.985411900499992,0.999384804675485
"10P2V2B",0.998824749395092,0.995679225717249,0.913393149826839,0.997573951692475,0.730370510470948,0.996401489175838,0.996749810346348,0.725979563581981,0.817234432246392,0.792102473886797,0.992913930176288,0.78169724468233,0.995333563774628,0.817017318243541,0.993017628759074,0.791974138720072,0.993155893536122,0.867649844566159,0.99526381842508,0.886880372591253,0.99433114414103,0.922796584567933,0.773719706571418,0.76767475380282,0.698755373016777,0.716175460159868,0.995031179840889,0.995221807220908,0.854223916126305,0.995679225717249,0.995679225717248,0.789036012601855,0.364573401599444,0.843619467088922,0.992003461550083,0.991773245765641,0.995955755271345,0.994561372641368,0,0.995228444761708,0.991773245765641,0.993264787697842,0.760508031092611,0.993155893536122,0.744090646187732,0.394128786833641,0.798472959682337,0.995039421427344,0.863770724295483,0.994426462226692,0.860479548157935,0.994544688430994,0.821147433982645,0.998824749395092,0.663058784953135,0.992548553853252,0.730594363953116,0.992082764332254,0.792822369341105,0.991876703651343,0.754917171670758,0.996335983408227,0.989520801501582,0.943350370907152,0.99571560963906,0.942334002660204,0.998544620981629,0.82854966234371,0.992619027028837,0.751762016572166,0.993788809037138,0.999343242309022,0.849498414190167,1,0.928953763986003,0.999455244900324,0.871013967806999
"10P2V3",0.707696367001976,0.669236423016326,0.988901103238493,0.690411568301661,0.990468012550517,0.684181143813232,0.939821377392002,0.987253258963129,0.993558106914645,0.994223709431721,0.928118866223233,0.992755300145097,0.920148982116445,0.974429195010839,0.851446025767478,0.978107400391994,0.685511642860582,0.988431474641377,0.759835942564002,0.977713994676019,0.748705933169187,0.992005911609781,0.98203170013704,0.989964319465494,0.994778949555821,0.995711405035805,0.710596982101657,0.71612134235002,0.993830798791913,0.697036323051599,0.717535699330312,0.984201456678626,0.990413571598798,0.998745044360845,0.21537053134037,0.217004751580074,0.177992218205432,0.229224861758573,0.995228444761708,0,0.376011359286247,0.690456471033066,0.992717159233915,0.702062511341873,0.9914637430873,0.987343524980637,0.998512581772721,0.94203646788294,0.979244514816669,0.94985734707685,0.988949456391897,0.940466487131238,0.993494626395472,0.737734176935323,0.99033393757132,0.923257782126601,0.963228138941513,0.931363519655066,0.998021787311525,0.845490936717333,0.985954193891645,0.996870109546166,0.99947350787345,0.988616804366986,0.929032184588708,0.99400340245077,0.948385996780949,0.989212182070675,0.899519591817273,0.975833498072141,0.216943497289374,0.949044834662615,0.99684011355445,0.979140319037964,1,0.952348371345853,0.998813346417913
"10P2V3A",0.837792229790587,0.861086359530811,0.992218314361162,0.888219032690169,0.994298849142846,0.882936958932639,0.992156996556971,0.998659972054882,0.998857287963433,0.998941508824609,0.981497535086784,0.995940950715471,0.980640693894582,0.994757596939324,0.923903589295753,0.996607045480407,0.891330469977514,0.994925317253394,0.887918076146897,0.991346492290183,0.873484442578903,0.997309601181362,0.987619912709118,0.996624653755896,0.999396901980701,0.993602797137138,0.896652256369121,0.897316844219129,0.998920771965465,0.893986341269815,0.89641531725526,0.988304221602836,0.993846394098093,0.999646750100929,0.425052281376428,0.31158207208427,0.390650980631074,0.232800659843406,0.991773245765641,0.376011359286247,0,0.89188691219179,0.991217352969807,0.892458100558659,0.995334174513836,0.994261417698153,0.996076998676914,0.987881626397097,0.990842689542036,0.979847226565538,0.993329056173924,0.9897658784816,0.995143473844591,0.901377602844083,0.990982677799062,0.98225015053714,0.986847533400483,0.983199323814347,1,0.904333452959258,0.990660084021364,0.993579711889571,0.999617096635237,0.990633846771143,0.9702409150749,0.996810498349593,0.995488434453503,0.999396901980701,0.957956497017044,0.988834996920043,0.44248145200024,0.994180586908211,0.998753025053069,0.997047993905536,1,0.994219305475406,0.999384804675484
"10P3V1",0.393607247988311,0.311860933223182,0.928240236502256,0.35196789303145,0.963679245283019,0.329232924038499,0.786101977671205,0.980849835137199,0.980809386496967,0.987747755562302,0.776986783055593,0.993380974695408,0.729981408913353,0.947713679336292,0.695450237702711,0.953094083414161,0.35767410964443,0.988013635863788,0.524448415982683,0.962932978940376,0.546231777300822,0.981083661534789,0.965420694717889,0.929873848564251,0.990194006509151,0.993373349339736,0.330042670436767,0.296849376364642,0.97160475194584,0.333255780922743,0.288359663561908,0.911244246215935,0.991936605032671,0.999646750100929,0.519563687482333,0.760244979747995,0.818399006857609,0.740929295376854,0.993264787697842,0.690456471033066,0.89188691219179,0,0.993363570558404,0.33618154116287,0.987478370300456,0.995980925344093,0.995745366639807,0.763332204315268,0.950454444690756,0.799575658790478,0.966933463289344,0.751453299901349,0.959402002434005,0.452729387973601,0.992341272880447,0.616045748629966,0.935526054682748,0.82294271347727,1,0.74953670612077,0.948729394010313,0.92812819760443,0.998659838223328,0.974296864601001,0.898096424088337,0.996500748028501,0.853629692122302,0.997676665912782,0.719047409918056,0.93885146011646,0.50479510453386,0.922826993788687,0.997387692175924,0.999339788732394,1,0.931613199491566,0.999384804675484
"10P3V1A",0.99919611070704,0.995950788250993,0.918109244425486,0.997715574650882,0.621076182414253,0.996228501985239,0.99572426921662,0.68670199488727,0.793228068549126,0.788142862790799,0.990161926271868,0.762620667479967,0.990534800099968,0.859765005204124,0.988808505731941,0.870363601455221,0.990085365386824,0.888664281730037,0.99525706381978,0.865032434413105,0.994838189244575,0.901360071365819,0.72169319748304,0.625387006261928,0.783688095555945,0.62064306823675,0.99512996270145,0.995894083478719,0.897697797382657,0.996018833977721,0.996018833977721,0.711432133684823,0.820239848925247,0.844407634569857,0.99340833129608,0.992294148184972,0.993645446541362,0.993684303243925,0.760508031092611,0.992717159233915,0.991217352969807,0.993363570558404,0,0.99092460351621,0.518315158794496,0.765017569896468,0.571987101372503,0.99597408348679,0.813419506561108,0.992523956119657,0.822849210688759,0.995430431349038,0.825510083841772,0.999000109139027,0.72953937979368,0.990161926271868,0.710140697429151,0.989192495650786,0.681152598507899,0.989887702473321,0.777599117459695,0.99640163840294,0.967097786508211,0.856718168050086,0.995543015522199,0.950453920366979,0.99886060694883,0.758067083012044,0.989405936681564,0.718305085959944,0.994501216937972,0.999617195574781,0.880388131916586,1,0.882670443670329,0.999697208260159,0.874280833121374
"10P3V2",0.221538153602134,0.251117881112575,0.974203619147747,0.238010246149112,0.979725177572766,0.220572315193098,0.894388891099305,0.982378625141076,0.98351785685081,0.987682699397146,0.908766991127565,0.992970946579194,0.912056346215749,0.977473859043149,0.850050259593086,0.977976344174853,0.464785069007272,0.988123602507239,0.74269626580483,0.97612064286987,0.76023947181052,0.98251638657047,0.983011923329856,0.982169330873357,0.990194006509151,0.993687052791017,0.103433544342351,0.239601528611046,0.98376560561799,0.537000417172469,0.208571656836233,0.96906637165225,0.992214653134992,0.999394428744449,0.524997204159687,0.76189296333003,0.819835863273716,0.741775217438308,0.993155893536122,0.702062511341873,0.892458100558659,0.33618154116287,0.99092460351621,0,0.987352524775838,0.995837386963525,0.995745366639807,0.925071808186943,0.97453344499454,0.92693939691919,0.985661423362194,0.916690492275021,0.97897820651206,0.156372954687341,0.992341272880447,0.880571504320288,0.963272954732572,0.914438167892498,1,0.826594488229052,0.966872662827198,0.990683007872601,0.998829271633988,0.992522702340434,0.941573165738459,0.995740041078175,0.945465084483823,0.997676665912782,0.892827428140461,0.976717744425852,0.509494004761039,0.955633719710705,0.997002269710077,0.998772547763902,1,0.967783450121617,0.999384804675485
